,source,author,title,description,url,urlToImage,publishedAt,content
11,"{'id': None, 'name': 'Theregister.com'}",Steven J. Vaughan-Nichols,Crypto craziness craps out – and about time too,"Fintech, you're better than this. Time to concentrate on more helpful stuff Opinion  With the quick one-two punch of FTX and Binance, crypto is finally losing its luster as the next revolution in money.…",https://www.theregister.com/2022/12/23/crypto_craziness_craps_out/,https://regmedia.co.uk/2017/09/15/shutterstock_cryptocurrencies.jpg,2022-12-23T12:56:11Z,"Opinion With the quick one-two punch of FTX and Binance, crypto is finally losing its luster as the next revolution in money.
I was recently in Manhattan at the Linux Foundation and Fintech Open Sou… [+4570 chars]"
12,"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph By Prashant Jha,OpenSea blocks Cuban artists from the platform due to US sanctions,Opensea faces backlash over its banning of Cuban artists citing the U.S. sanctions. The Crypto community called for mote decentralized and borderless platforms to enter NFT space.,https://cointelegraph.com/news/opensea-blocks-cuban-artists-from-the-platform-due-to-u-s-sanctions,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2022-12/2024a814-6998-4076-9c46-8d88eee8db9a.jpg",2022-12-23T12:53:19Z,"Nonfungible token (NFT) marketplace OpenSea has been banning artists and collectors from Cuba, citing United States sanctions as the key reason behind its action.
According to a report published by … [+1967 chars]"
13,"{'id': None, 'name': 'Biztoc.com'}",ambcrypto.com,LBank welcomes Nigeria’s push to recognize crypto as investment capital,"Nigeria has put forward a significant legislation design that will further facilitate cryptocurrency adoption in the country with over 200 million inhabitants. Why does this matter? If the Investments and Securities Act, 2007 (Amendment) Bill passes, the Nige…",https://biztoc.com/x/0e5fc61220b3caa7,https://c.biztoc.com/p/0e5fc61220b3caa7/og.webp,2022-12-23T12:52:05Z,"Nigeria has put forward a significant legislation design that will further facilitate cryptocurrency adoption in the country with over 200 million inhabitants.
Why does this matter?
If the Investme… [+434 chars]"
14,"{'id': None, 'name': 'Biztoc.com'}",u.today,The Smurfs' Society Comes to Web3 Segment with ZenGo Integration,Tokenized smurfs will be available for all users of cryptocurrency wallet ZenGo The Smurfs brand comes to the blockchain and cryptocurrencies segment as a long-term partnership between The Smurfs' Society and ZenGo wallet for digital assets kicks off. Accordi…,https://biztoc.com/x/4a876bece180d170,https://c.biztoc.com/p/4a876bece180d170/og.webp,2022-12-23T12:48:07Z,"Tokenized smurfs will be available for all users of cryptocurrency wallet ZenGo
The Smurfs brand comes to the blockchain and cryptocurrencies segment as a long-term partnership between The Smurfs' S… [+442 chars]"
15,"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph By Shailey Singh,"What is Wrapped XRP (wXRP), and how does it work?",Learn what Wrapped XRP is and how to use wXRP on blockchains other than Ripple’s XRP Ledger.,https://cointelegraph.com/news/what-is-wrapped-xrp-wxrp-and-how-does-it-work,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/storage/uploads/view/f60bd62ed4ee9aa159862d276943f780.jpg",2022-12-23T12:47:00Z,Wrapped XRP (wXRP) is a crypto asset pegged to XRP (XRP) and can be used on blockchains other than Ripples native XRP Ledger. Ripple is a blockchain-based global payments system providing crypto solu… [+8009 chars]
16,"{'id': None, 'name': 'Ambcrypto.com'}",Jacob Thomas,LBank welcomes Nigeria’s push to recognize crypto as investment capital,"Nigeria has put forward a significant legislation design that will further facilitate cryptocurrency adoption in the country with over 200 million inhabitants. Why does this matter? If the Investments and Securities Act, 2007 (Amendment) Bill passes, the Nige…",https://ambcrypto.com/lbank-welcomes-nigerias-push-to-recognize-crypto-as-investment-capital/,https://ambcrypto.com/wp-content/uploads/2022/12/lB-1-994x600.png,2022-12-23T12:45:47Z,"Nigeria has put forward a significant legislation design that will further facilitate cryptocurrency adoption in the country with over 200 million inhabitants.
Why does this matter?
If the Investme… [+1977 chars]"
17,"{'id': None, 'name': 'Whyevolutionistrue.com'}",whyevolutionistrue,Friday: Hili dialogue,"First, it’s howling a gale out there: here’s the ambient temperature when I woke up an hour ago. That’s the equivalent of -23° C, and the wind chill gives an equivalent temperature of -32° F or -36° C. But I had to come to work, for this is where my espresso …",https://whyevolutionistrue.com/2022/12/23/friday-hili-dialogue-404/,https://whyevolutionistrue.com/wp-content/uploads/2022/12/321628743_877265813615977_5787350308438246610_n.jpg,2022-12-23T12:45:43Z,"First, it’s howling a gale out there: here’s the ambient temperature when I woke up an hour ago. That’s the equivalent of -23° C, and the wind chill gives an equivalent temperature of -32° F or -36° … [+15379 chars]"
18,"{'id': None, 'name': 'Forbes'}","Olivia Peluso, Forbes Staff, 
 Olivia Peluso, Forbes Staff
 https://www.forbes.com/sites/oliviapeluso/",Daily Dozen: Winter Storm | TikTok Tracks Journalists | Dysfunction In The IRS,"The Senate passed a $1.7 trillion spending bill. FTX founder Sam Bankman-Fried was released from federal custody on $250 million bail. Plus, a close read of the biggest revelations from the House Ways and Means Committee's report on former President Trump's t…",https://www.forbes.com/sites/oliviapeluso/2022/12/23/daily-dozen-4000-flights-canceled--tiktok-tracks-journalists--dysfunction-in-the-irs/,https://imageio.forbes.com/specials-images/imageserve/63a59b4d5d709ea6341d7c71/0x0.jpg?format=jpg&width=1200,2022-12-23T12:45:00Z,"The Senate passed a $1.7 trillion spending bill to fund the government through September 2023. FTX founder Sam Bankman-Fried was released from federal custody on $250 million bail. Plus, a close read… [+6002 chars]"
19,"{'id': None, 'name': 'GlobeNewswire'}",Bitget,Bitget's KCGI 2022: Football Edition celebrates the World Cup with record-breaking participation,"Over 32,000 users took part in various competitions sharing a total rewards pool of 565,000 USDT Over 32,000 users took part in various competitions sharing a total rewards pool of 565,000 USDT",https://www.globenewswire.com/news-release/2022/12/23/2579112/0/en/Bitget-s-KCGI-2022-Football-Edition-celebrates-the-World-Cup-with-record-breaking-participation.html,https://ml.globenewswire.com/Resource/Download/766cb766-835a-45ea-90be-02e9f19551bc?size=1,2022-12-23T12:43:00Z,"Victoria, Seychelles, Dec. 23, 2022 (GLOBE NEWSWIRE) -- Leading crypto exchange, Bitget, announces the conclusion of its biannual trading tournament, King's Cup Global Invitation (""KCGI""): Football E… [+3867 chars]"
20,"{'id': None, 'name': 'Euronews'}",,FTX founder Sam Bankman-Fried to be released on $250 million bail and will live with his parents,The 30-year-old FTX founder was shackled at the ankles when he entered the courtroom in the US.,https://www.euronews.com/next/2022/12/23/ftx-founder-sam-bankman-fried-to-be-released-on-250-million-bail-and-will-live-with-his-pa,https://static.euronews.com/articles/stories/07/26/59/00/1000x563_cmsv2_b12851d7-b6c7-5742-993b-d372a374d5c2-7265900.jpg,2022-12-23T12:36:35Z,Cryptocurrency entrepreneur Sam Bankman-Fried walked out of a Manhattan courthouse on Thursday with his parents after they agreed to sign a $250 million (235 million) bond and keep him at their Calif… [+4159 chars]
21,"{'id': None, 'name': 'Investing.com'}",CoinEdition,Helium’s 20% Surge Is Overturned by a Bearish Momentum,Helium’s 20% Surge Is Overturned by a Bearish Momentum,https://www.investing.com/news/cryptocurrency-news/heliums-20-surge-is-overturned-by-a-bearish-momentum-2969712,https://i-invdn-com.investing.com/news/Cryptocurrencies_800x533_L_1556528074.jpg,2022-12-23T12:30:08Z,<ul><li>HNT bears take charge to reverse the market trend.</li><li>A bearish momentum has been dominant for the coin in the past 24 hours.</li><li>The four-hour chart indicates bears have started bit… [+529 chars]
22,"{'id': None, 'name': 'Yahoo Entertainment'}",ACCESSWIRE,Mobilum Technologies Announces Second Tranche of Project Funding,"Mobilum Technologies Inc. (""Mobilum"") (CSE:MBLM)(OTCQB:MBLMF)(FRA:C0B), a technology-driven company making digital assets and cryptocurrencies accessible through traditional finance and payment infrastructure, and the first solution provider of Fiat-to-Dex To…",https://ca.sports.yahoo.com/news/mobilum-technologies-announces-second-tranche-123000612.html,https://media.zenfs.com/en/accesswire.ca/493f395663cb64ab681ba0e047a59bea,2022-12-23T12:30:00Z,"VANCOUVER, BC / ACCESSWIRE / December 23, 2022 / Mobilum Technologies Inc. 
(""Mobilum"") (CSE:MBLM)(OTCQB:MBLMF)(FRA:C0B), a technology-driven company making digital assets and cryptocurrencies acces… [+4108 chars]"
23,"{'id': None, 'name': 'Yahoo Entertainment'}",Mobilum Technologies Inc.,Mobilum Technologies Announces Second Tranche of Project Funding,"Mobilum Technologies Inc. (""Mobilum"") (CSE:MBLM)(OTCQB:MBLMF)(FRA:C0B), a technology-driven company making digital assets and cryptocurrencies accessible...",https://finance.yahoo.com/news/mobilum-technologies-announces-second-tranche-123000612.html,https://media.zenfs.com/en/accesswire.ca/493f395663cb64ab681ba0e047a59bea,2022-12-23T12:30:00Z,"VANCOUVER, BC / ACCESSWIRE / December 23, 2022 / Mobilum Technologies Inc. 
(""Mobilum"") (CSE:MBLM)(OTCQB:MBLMF)(FRA:C0B), a technology-driven company making digital assets and cryptocurrencies acces… [+4108 chars]"
24,"{'id': None, 'name': 'Slashdot.org'}",benlouie,Localbitcoins clone script- A modern apporach to develop your P2P crypto exchang,The LocalBitcoins is one of the popular p2p exchange platforms in the crypto market. So Starting a p2p exchange like LocalBitcoins will give a look to your business among traders. This could make your cryptocurrency exchange business turn a massive revenue in…,https://slashdot.org/submission/17083294/localbitcoins-clone-script--a-modern-apporach-to-develop-your-p2p-crypto-exchang,,2022-12-23T12:26:46Z,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
25,"{'id': None, 'name': 'Coinjournal.net'}",Crispus Nyaga,MANA price needs a miracle to recover: Here’s why,"Decentraland is one of the biggest players in the metaverse. But its population is less than 1,000 people. The metaverse is dead! MANA price has crumbled in 2022 as investors assess the state of Decentraland’s ecosystem. The token was trading at $0.3140, whic…",https://coinjournal.net/news/mana-price-needs-a-miracle-to-recover-heres-why/,https://coinjournal.net/wp-content/uploads/2022/06/1655478644421-d45130fb-6a2f-42e6-a102-bcc1cd2e8a62.jpg,2022-12-23T12:18:35Z,"<ul><li>Decentraland is one of the biggest players in the metaverse.
</li><li>But its population is less than 1,000 people.
</li></ul>The metaverse is dead! MANA price has crumbled in 2022 as inves… [+3268 chars]"
26,"{'id': None, 'name': 'New York Post'}",Snejana Farberov,Sam Bankman-Fried arrives at parents’ residence to start house arrest,"Sam Bankman-Fried arrived at his parents' Palo Alto, California, home Friday after being released on a record $250 million bond and placed under house arrest.",https://nypost.com/2022/12/23/sam-bankman-fried-arrives-at-parents-home/,https://nypost.com/wp-content/uploads/sites/2/2022/12/sam-bankman-fried-arrives-parents-house-comp-3.jpg?quality=75&strip=all&w=1024,2022-12-23T12:16:35Z,"Disgraced FTX founder Sam Bankman-Fried was spotted early Friday arriving at his parents’ Palo Alto, California, home where he will remain under house arrest after being released on a record $250 mil… [+1117 chars]"
27,"{'id': 'business-insider', 'name': 'Business Insider'}",gglover@insider.com (George Glover),Sam Bankman-Fried is facing off against FTX's new bosses in a 4-way battle for $450 million of Robinhood shares,Bankrupt crypto lender BlockFi and FTX creditor Yonatan Ben Shimon are also laying claim to Bankman-Fried's Robinhood stake.,https://markets.businessinsider.com/news/currencies/crypto-sam-bankman-fried-ftx-bankruptcy-robinhood-shares-blockfi-emergent-2022-12,https://i.insider.com/63a586dc6d762a001a5e3585?width=1200&format=jpeg,2022-12-23T12:16:35Z,"Disgraced FTX founder Sam Bankman-Fried and the crypto exchange's new bosses are locked in a legal battle over who owns a stake in Robinhood worth just under $450 million, a Thursday court filing has… [+2748 chars]"
28,"{'id': None, 'name': 'Marketscreener.com'}",MarketScreener,Fed Unlikely to Get Big Break in Inflation Fight for Holidays; Fiscal Policy Isn't Helping Central Bank,"(marketscreener.com) 
 Fed Unlikely to Get Big Break in its Inflation Fight for the Holidays; Fiscal Policy Isn't Helping the Central Bank By James Christie 

 Good day. Signs that the Federal Reserve's campaign to cool the U.S. economy is starting to hit the…",https://www.marketscreener.com/news/latest/Fed-Unlikely-to-Get-Big-Break-in-Inflation-Fight-for-Holidays-Fiscal-Policy-Isn-t-Helping-Central-B--42611574/?utm_medium=RSS&utm_content=20221223,https://www.marketscreener.com/images/twitter_MS_fdblanc.png,2022-12-23T12:16:03Z,"Fed Unlikely to Get Big Break in its Inflation Fight for the Holidays; Fiscal Policy Isn't Helping the Central Bank By James Christie 
Good day. Signs that the Federal Reserve's campaign to cool the… [+9005 chars]"
29,"{'id': None, 'name': 'Finbold.com'}",Ana Nicenko,"Investor Mike Alfred claims Binance has no CFO, in talks with W. Buffett’s firm for funding","Value investor and Bitcoin (BTC) enthusiast Mike Alfred has recently made a number of (so far unconfirmed) claims about the … Continued
The post Investor Mike Alfred claims Binance has no CFO, in talks with W. Buffett’s firm for funding appeared first on Finb…",https://finbold.com/investor-mike-alfred-claims-binance-has-no-cfo-in-talks-with-w-buffetts-firm-for-funding/,https://finbold.com/app/uploads/2022/12/Investor-Mike-Alfred-claims-Binance-has-no-CFO-in-talks-with-W.-Buffetts-firm-for-funding.jpg,2022-12-23T12:15:22Z,"Value investor and Bitcoin (BTC) enthusiast Mike Alfred has recently made a number of (so far unconfirmed) claims about the crypto trading platform Binance, including that it has a decentralized chie… [+3227 chars]"
30,"{'id': None, 'name': 'The Atlantic'}",Annie Lowrey,Will Elon Musk Bankrupt Twitter?,He isn’t heading toward a happy financial equilibrium.,https://www.theatlantic.com/ideas/archive/2022/12/elon-musk-twitter-finances-debt-tesla-stock/672555/?utm_source=feed,,2022-12-23T12:15:00Z,"Maybe you have not had the best year. But take some consolation from the fact that you did not YOLO yourself into overpaying for an unprofitable social-media platform, publicly try to wriggle out of … [+6614 chars]"
31,"{'id': None, 'name': 'Biztoc.com'}",siliconvalley.com,Sam Bankman-Fried to stay at parents’ Stanford home while on $250 million bail,STANFORD — Former FTX cryptocurrency billionaire Sam Bankman-Fried gained permission Thursday for a sweet alternative to awaiting trial in jail: He’ll reside at his parents’ home in the tony Upper San Juan neighborhood nestled in the southern part of Stanford…,https://biztoc.com/x/934bf97baba7e291,https://c.biztoc.com/p/934bf97baba7e291/og.webp,2022-12-23T12:06:06Z,STANFORD Former FTX cryptocurrency billionaire Sam Bankman-Fried gained permission Thursday for a sweet alternative to awaiting trial in jail: Hell reside at his parents home in the tony Upper San Ju… [+458 chars]
32,"{'id': None, 'name': 'Ambcrypto.com'}",Jacob Thomas,Bitget’s KCGI 2022 celebrates the World Cup with record-breaking participation,"Leading crypto exchange, Bitget, announces the conclusion of its biannual trading tournament, King’s Cup Global Invitation (“KCGI”): Football Edition with record-breaking participation. Hosted from Nov 21 to Dec 19, a total of 32,174 participants joined the t…",https://ambcrypto.com/bitgets-kcgi-2022-celebrates-the-world-cup-with-record-breaking-participation/,https://ambcrypto.com/wp-content/uploads/2022/12/Competition-Ends_EN-1-1000x600.png,2022-12-23T12:00:11Z,"Leading crypto exchange, Bitget, announces the conclusion of its biannual trading tournament, King’s Cup Global Invitation (“KCGI”): Football Edition withrecord-breaking participation. Hosted from No… [+3895 chars]"
33,"{'id': None, 'name': 'Coinjournal.net'}",Hassan Maishera,Should you buy KAVA after its integration with Axelar?,Kava has integrated with Axelar to make it easier for users to transfer assets across blockchains. KAVA is up by less than 1% today but could rally higher over the next few hours. The total crypto market cap continues to stay above $800 billion. Kava integrat…,https://coinjournal.net/news/should-you-buy-kava-after-its-integration-with-axelar/,https://coinjournal.net/wp-content/uploads/1970/01/1671796709912-ba4e3f92-235e-4b15-b0c8-bdb3559214b5.jpg,2022-12-23T11:59:41Z,"<ul><li>Kava has integrated with Axelar to make it easier for users to transfer assets across blockchains.
</li><li>KAVA is up by less than 1% today but could rally higher over the next few hours.
… [+2696 chars]"
34,"{'id': None, 'name': 'Business Standard'}",Raghav Aggarwal,Crypto wrap: Central banks' commentary on inflation keeping market weak,Cryptocurrency news: Both Bitcoin and Ethereum have been trading below crucial support levels,https://www.business-standard.com/article/markets/crypto-wrap-central-banks-commentary-on-inflation-keeping-market-weak-122122300773_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2022-06/25/full/1656150040-8144.jpg,2022-12-23T11:47:00Z,"Following no clarity on the FTX fiasco and hawkish commentary from the central banks across the globe, the cryptocurrency market has remained weak in the last one week with total valuation slipping b… [+2082 chars]"
35,"{'id': None, 'name': 'Biztoc.com'}",euronews.com,FTX founder Sam Bankman-Fried to be released on $250 million bail and will live with his parents,Cryptocurrency entrepreneur Sam Bankman-Fried walked out of a Manhattan courthouse on Thursday with his parents after they agreed to sign a $250 million (€235 million) bond and keep him at their California home while he awaits trial on charges that he swindle…,https://biztoc.com/x/1ad146f6b3835519,https://c.biztoc.com/p/1ad146f6b3835519/og.webp,2022-12-23T11:46:07Z,Cryptocurrency entrepreneur Sam Bankman-Fried walked out of a Manhattan courthouse on Thursday with his parents after they agreed to sign a $250 million (235 million) bond and keep him at their Calif… [+449 chars]
36,"{'id': None, 'name': 'Motley Fool'}",newsfeedback@fool.com (Anthony Di Pizio),Crypto Winter: Why Investors Are Leaving This Popular Stock Out In the Cold,"Robinhood made an abrupt pivot to focus on cryptocurrency broking, but it's not paying off.",https://www.fool.com/investing/2022/12/23/crypto-winter-investors-leaving-popular-stock-cold/,https://g.foolcdn.com/editorial/images/713715/a-frustrated-investor-with-their-head-resting-in-their-arms-at-their-desk-in-front-of-stock-charts-on-computer-monitors.jpg,2022-12-23T11:45:00Z,"Robinhood Markets(HOOD -2.20%) is perhaps the ultimate poster child for the financial market frenzy of 2021. Retail investors rushed into stocks, options contracts, and cryptocurrencies in a stampede… [+4463 chars]"
37,"{'id': None, 'name': 'Biztoc.com'}",coinjournal.net,"Ether could end the week above $1,300 as the bullish sentiment increases","Ether maintained its price above $1,200 over the past few days and could rally higher soon. The total crypto market cap could reach the $815 billion mark soon. Ether could end the week above the $1,300 resistance point. Ether could rally higher soon ETH, the …",https://biztoc.com/x/fdd00d03eb0cc0f4,https://c.biztoc.com/p/fdd00d03eb0cc0f4/og.webp,2022-12-23T11:44:07Z,"Ether maintained its price above $1,200 over the past few days and could rally higher soon.The total crypto market cap could reach the $815 billion mark soon.Ether could end the week above the $1,300… [+429 chars]"
38,"{'id': None, 'name': 'Coinjournal.net'}",Hassan Maishera,"Ether could end the week above $1,300 as the bullish sentiment increases","Ether maintained its price above $1,200 over the past few days and could rally higher soon. The total crypto market cap could reach the $815 billion mark soon. Ether could end the week above the $1,300 resistance point. Ether could rally higher soon ETH, the …",https://coinjournal.net/news/ether-could-end-the-week-above-1300-as-the-bullish-sentiment-increases/,https://coinjournal.net/wp-content/uploads/2022/09/1662485052302-cf552d52-5268-4286-8bbe-27214cc8af47.jpg,2022-12-23T11:42:14Z,"<ul><li>Ether maintained its price above $1,200 over the past few days and could rally higher soon.
</li><li>The total crypto market cap could reach the $815 billion mark soon.
</li><li>Ether could… [+2508 chars]"
39,"{'id': None, 'name': 'Coinjournal.net'}",Alice Davies,Ethereum Classic Price Prediction: ETC seems stable whilst Metacade (MCADE) doesn’t stop rising,Web3 is a constantly expanding industry and crypto price action tends to favour projects that can adapt to its fast-changing environment. ETC is a classic example of a project that has been left behind due to its inability to scale with the rest of the indust…,https://coinjournal.net/news/ethereum-classic-price-prediction-etc-seems-stable-whilst-metacade-mcade-doesnt-stop-rising/,https://coinjournal.net/wp-content/uploads/1970/01/1671794771616-13f1fd6d-a1bc-4add-9ffe-6fdf9303121f.png,2022-12-23T11:34:04Z,Web3 is a constantly expanding industry and crypto price action tends to favour projects that can adapt to its fast-changing environment. ETC is a classic example of a project that has been left behi… [+6706 chars]
